flt_pyt_debug_core_partner_id,flt_pyt_partner_trade_name,flt_pyt_partner_product_id,flt_pyt_session_considered_at_localtime,flt_pyt_transaction_created_at,flt_pyt_debug_gympass_individual_id,flt_pyt_transaction_cost,flt_pyt_transaction_type,flt_pyt_product_cap
105,Gym A,1005,1/31/2025 16:54:01,2025-01-31 13:54:01,931,20,LATE_CANCEL,400
105,Gym E,1014,1/31/2025 12:01:44,2025-01-31 9:01:44,645,100,VALIDATION,800
102,Gym E,1015,1/31/2025 9:50:03,2025-01-31 6:50:03,708,60,RETROACTIVE,600
104,Gym B,1003,1/31/2025 9:33:29,2025-01-31 6:33:29,2002,30,VALIDATION,300
104,Gym B,1002,1/30/2025 12:35:26,2025-01-30 9:35:26,727,100,RETROACTIVE,800
105,Gym B,1002,1/30/2025 10:01:54,2025-01-30 7:01:54,748,100,RETROACTIVE,800
102,Gym D,1003,1/30/2025 6:09:31,2025-01-30 3:09:31,269,30,VALIDATION,300
105,Gym C,1010,1/30/2025 5:39:37,2025-01-30 2:39:37,390,50,RETROACTIVE,250
105,Gym D,1003,1/29/2025 20:26:36,2025-01-29 17:26:36,767,30,VALIDATION,300
102,Gym B,1001,1/29/2025 6:48:43,2025-01-29 3:48:43,448,50,RETROACTIVE,500
102,Gym C,1011,1/29/2025 0:34:30,2025-01-28 21:34:30,232,20,LATE_CANCEL,400
104,Gym B,1001,1/28/2025 18:13:12,2025-01-28 15:13:12,2002,50,VALIDATION,500
102,Gym C,1011,1/28/2025 13:12:29,2025-01-28 10:12:29,161,40,NO_SHOW,400
102,Gym B,1001,1/28/2025 9:53:20,2025-01-28 6:53:20,792,50,RETROACTIVE,500
105,Gym D,1002,1/28/2025 2:12:49,2025-01-27 23:12:49,241,100,RETROACTIVE,800
105,Gym E,1014,1/27/2025 11:58:44,2025-01-27 8:58:44,973,100,NO_SHOW,800
104,Gym A,1005,1/27/2025 10:33:25,2025-01-27 7:33:25,596,40,RETROACTIVE,400
105,Gym B,1001,1/27/2025 3:48:21,2025-01-27 0:48:21,931,25,LATE_CANCEL,500
103,Gym B,1003,1/27/2025 2:56:49,2025-01-26 23:56:49,645,30,RETROACTIVE,300
101,Gym A,1006,1/26/2025 3:03:40,2025-01-26 0:03:40,708,12.5,LATE_CANCEL,375
103,Gym A,1006,1/25/2025 23:50:44,2025-01-25 20:50:44,2002,25,RETROACTIVE,375
103,Gym C,1011,1/25/2025 6:18:18,2025-01-25 3:18:18,727,20,LATE_CANCEL,400
103,Gym B,1003,1/25/2025 6:00:32,2025-01-25 3:00:32,748,30,RETROACTIVE,300
102,Gym B,1003,1/25/2025 3:43:56,2025-01-25 0:43:56,269,15,LATE_CANCEL,300
