flt_pyt_debug_core_partner_id,partner_trade_name,address,contact_number,partner_segment_type,country,flt_pyt_partner_product_id,flt_pyt_session_considered_at_localtime,flt_pyt_transaction_created_at,flt_pyt_debug_gympass_individual_id,flt_pyt_transaction_type,product_cap_value,adjusted_product_cost_per_usage,product_cost_per_usage,activity_name,product_segment_type,last_price_update,session_group,total_payment,cap_hit_flag,cost_less_than_cap
101,FitClub Gym,"123 Main St, Downtown",(202) 123-4567,Full Service Gym,United States,1010,2025-01-29 13:56:40.000,2025-01-29 10:56:40.000,2423,VALIDATION,"76,06","89,9","89,9",Corrida Indoor,Full Service Gym,2025-01-10 00:00:00.000,Sessao realizada,"76,06",1,1
101,FitClub Gym,"123 Main St, Downtown",(202) 123-4567,Full Service Gym,United States,1007,2025-02-21 13:34:19.000,2025-02-21 11:34:19.000,2318,LATE_CANCEL,"47,78","24,35","48,7",Jiu-Jitsu,Boutique Fitness,2025-02-06 00:00:00.000,Sessao não realizada,"24,35",0,0
101,FitClub Gym,"123 Main St, Downtown",(202) 123-4567,Full Service Gym,United States,1010,2025-01-17 20:56:26.000,2025-01-17 17:56:26.000,2448,RETROACTIVE,"76,06","89,9","89,9",Corrida Indoor,Full Service Gym,2025-01-10 00:00:00.000,Sessao realizada,"76,06",1,1
101,FitClub Gym,"123 Main St, Downtown",(202) 123-4567,Full Service Gym,United States,1003,2025-01-18 16:44:14.000,2025-01-18 14:44:14.000,2443,RETROACTIVE,"67,8","58,77","58,77",Yoga,Boutique Fitness,2025-02-26 00:00:00.000,Sessao realizada,"58,77",0,0
101,FitClub Gym,"123 Main St, Downtown",(202) 123-4567,Full Service Gym,United States,1003,2025-01-16 12:27:42.000,2025-01-16 09:27:42.000,2210,VALIDATION,"67,8","58,77","58,77",Yoga,Boutique Fitness,2025-02-26 00:00:00.000,Sessao realizada,"58,77",0,0
101,FitClub Gym,"123 Main St, Downtown",(202) 123-4567,Full Service Gym,United States,1008,2025-01-12 06:18:06.000,2025-01-12 05:18:06.000,2446,VALIDATION,66,"82,89","82,89",Zumba,Boutique Fitness,2025-01-26 00:00:00.000,Sessao realizada,66,1,1
101,FitClub Gym,"123 Main St, Downtown",(202) 123-4567,Full Service Gym,United States,1004,2025-01-18 08:39:22.000,2025-01-18 05:39:22.000,2486,VALIDATION,"77,45","91,81","91,81",Pilates,Full Service Gym,2025-02-20 00:00:00.000,Sessao realizada,"77,45",1,1
101,FitClub Gym,"123 Main St, Downtown",(202) 123-4567,Full Service Gym,United States,1014,2025-01-07 19:15:34.000,2025-01-07 17:15:34.000,2096,NO_SHOW,"59,54","76,09","76,09",HIIT,Boutique Fitness,2025-01-20 00:00:00.000,Sessao não realizada,"59,54",1,1
101,FitClub Gym,"123 Main St, Downtown",(202) 123-4567,Full Service Gym,United States,1006,2025-02-05 18:02:02.000,2025-02-05 16:02:02.000,2190,NO_SHOW,"130,24","120,59","120,59",Boxe,Full Service Gym,2025-02-15 00:00:00.000,Sessao não realizada,"120,59",0,0
101,FitClub Gym,"123 Main St, Downtown",(202) 123-4567,Full Service Gym,United States,1014,2025-02-25 06:29:35.000,2025-02-25 05:29:35.000,2108,RETROACTIVE,"59,54","76,09","76,09",HIIT,Boutique Fitness,2025-01-20 00:00:00.000,Sessao realizada,"59,54",1,1
101,FitClub Gym,"123 Main St, Downtown",(202) 123-4567,Full Service Gym,United States,1012,2025-01-12 16:18:38.000,2025-01-12 14:18:38.000,2226,NO_SHOW,"100,5","102,91","102,91",Calistenia,Specialized Training,2025-02-27 00:00:00.000,Sessao não realizada,"100,5",1,1
101,FitClub Gym,"123 Main St, Downtown",(202) 123-4567,Full Service Gym,United States,1006,2025-01-28 19:37:19.000,2025-01-28 16:37:19.000,2132,NO_SHOW,"130,24","120,59","120,59",Boxe,Full Service Gym,2025-02-15 00:00:00.000,Sessao não realizada,"120,59",0,0
101,FitClub Gym,"123 Main St, Downtown",(202) 123-4567,Full Service Gym,United States,1005,2025-02-21 22:36:43.000,2025-02-21 21:36:43.000,2215,VALIDATION,"96,41","93,98","93,98",Spinning,Boutique Fitness,2025-01-12 00:00:00.000,Sessao realizada,"93,98",0,0
101,FitClub Gym,"123 Main St, Downtown",(202) 123-4567,Full Service Gym,United States,1004,2025-01-02 07:37:03.000,2025-01-02 06:37:03.000,2320,VALIDATION,"77,45","91,81","91,81",Pilates,Full Service Gym,2025-02-20 00:00:00.000,Sessao realizada,"77,45",1,1
101,FitClub Gym,"123 Main St, Downtown",(202) 123-4567,Full Service Gym,United States,1006,2025-01-18 10:36:51.000,2025-01-18 08:36:51.000,2424,LATE_CANCEL,"130,24","60,295","120,59",Boxe,Full Service Gym,2025-02-15 00:00:00.000,Sessao não realizada,"60,295",0,0
101,FitClub Gym,"123 Main St, Downtown",(202) 123-4567,Full Service Gym,United States,1011,2025-01-07 15:51:19.000,2025-01-07 12:51:19.000,2203,VALIDATION,"55,66","48,23","48,23",Treinamento Funcional,Full Service Gym,2025-02-22 00:00:00.000,Sessao realizada,"48,23",0,0
101,FitClub Gym,"123 Main St, Downtown",(202) 123-4567,Full Service Gym,United States,1013,2025-01-22 20:50:50.000,2025-01-22 17:50:50.000,2401,NO_SHOW,"83,62","72,4","72,4",Dança,Specialized Training,2025-01-14 00:00:00.000,Sessao não realizada,"72,4",0,0
101,FitClub Gym,"123 Main St, Downtown",(202) 123-4567,Full Service Gym,United States,1007,2025-02-28 11:44:28.000,2025-02-28 08:44:28.000,2174,LATE_CANCEL,"47,78","24,35","48,7",Jiu-Jitsu,Boutique Fitness,2025-02-06 00:00:00.000,Sessao não realizada,"24,35",0,0
101,FitClub Gym,"123 Main St, Downtown",(202) 123-4567,Full Service Gym,United States,1002,2025-02-16 14:50:27.000,2025-02-16 13:50:27.000,2331,RETROACTIVE,"82,06","92,39","92,39",CrossFit,Specialized Training,2025-01-04 00:00:00.000,Sessao realizada,"82,06",1,1
102,Iron Haven,"456 Oak Ave, Uptown",(303) 555-6789,Strength Training,United States,1013,2025-02-20 06:06:37.000,2025-02-20 05:06:37.000,2303,LATE_CANCEL,"138,34","59,45","118,9",Dança,Boutique Fitness,2025-01-11 00:00:00.000,Sessao não realizada,"59,45",0,0
